ticker,year,hour_bucket,trades,win_rate,avg_R,PF
JPM,2024,10:30,13,46.15384615384615,0.15384615384615094,1.451796765758928
JPM,2024,11:00,15,73.33333333333333,0.7658213160948067,3.385544034204388
JPM,2024,11:15,4,75.0,0.7646447860407163,4.220901547432142
JPM,2024,11:30,3,33.33333333333333,-0.6408839779005637,0.030590961761289125
JPM,2025,09:30,44,43.18181818181818,0.0795454545454568,1.140654238238681
JPM,2025,09:45,74,32.432432432432435,-0.18918918918918867,0.7292268453118511
JPM,2025,10:00,27,51.85185185185185,0.29629629629628385,1.5508388437365372
JPM,2025,10:15,16,31.25,-0.2187500000000081,0.719758218532745
JPM,2025,10:30,5,40.0,1.2745360322696797e-14,0.8319273950066097
JPM,2025,10:45,4,75.0,0.6623320329432099,3.8749713349713146
JPM,2025,11:00,17,47.05882352941176,0.09281508356628708,0.9870060586985594
JPM,2025,11:15,6,16.666666666666664,-0.5833333333333468,0.2235570362958198
JPM,2025,11:30,1,0.0,-0.6698275862069067,0.0
JPM,2026,09:30,2,50.0,0.24999999999999523,1.4611273871527228
JPM,2026,09:45,5,60.0,0.5000000000000058,2.2130113826015263
JPM,2026,10:00,1,100.0,1.4999999999999727,inf
JPM,2026,10:15,2,0.0,-0.6742272179847347,0.0
JPM,2026,11:00,2,0.0,-1.000000000000003,0.0
QQQ,2024,09:30,43,32.55813953488372,-0.2194165217087119,0.6492892289846391
QQQ,2024,09:45,41,43.90243902439025,0.09756097560976094,1.137453812905857
QQQ,2024,10:00,38,36.84210526315789,-0.07894736842106058,0.8784437551292804
QQQ,2024,10:15,30,43.333333333333336,0.08333333333333387,1.0933682485539056
QQQ,2024,10:30,8,50.0,0.2500000000000037,1.3886068824900715
